1. Ворона и сорока — одно и то же. ;0
2. Рубанок — инструмент столяра. ;1
3. Кашпо — вид шарфа. ;0
4. Бобслей — санный вид спорта. ;1
5. 23:00 — то же, что 8 часов вечера. ;0
6. Мэри Поппинс родом из Франции. ;0
7. Английский алфавит длиннее русского. ;0
8. В слове «день» 4 звука. ;0
9. Судно с двумя корпусами — катамаран. ;1
10. Октябрь — самый длинный осенний месяц. ;1
11. Столица Египта — Каир. ;1
12. Фортепиано относится к духовым инструментам. ;0
13. Война с Наполеоном была в 1812 году. ;1
14. Изумруд — камень синего цвета. ;0
15. Суши — японское блюдо. ;1
16. Рождество в России отмечают 14 января. ;0
17. Цветик-семицветик исполнял желания. ;1
18. Антрекот — это пирожное. ;0
19. Емеля поймал Золотую рыбку. ;0
20. Если сегодня четверг, то позавчера был вторник. ;1
21. Голкипер — это защитник в хоккее. ;1
22. Семнадцать делится на семь. ;0
23. Помадой красят ресницы. ;0
24. Майор — это звание между капитаном и подполковником. ;1
25. Голландия — то же самое, что и Нидерланды. ;1
26. Дагестан находится в России. ;1
27. Чечётка — это название танца. ;1
28. В слове «пень» один слог. ;1
29. Коалы обитают в Норвегии. ;0
30. На футбольном поле двое ворот. ;1
31. Динозавров изучает палеонтология. ;1
32. Хомяки являются хищниками. ;0
33. Кондитер изготавливает обувь. ;0
34. У флейты есть струны. ;0
35. Ежи впадают в спячку. ;1
36. Лезгинка — грузинское блюдо. ;0
37. В баскетболе используются мяч. ;1
38. В слове «переезд» есть приставка. ;1
39. Зелёный сигнал светофора означает, что нужно стоять. ;0
40. Эклер — это мясное блюдо. ;0
41. Нарвал живёт в море. ;1
42. Помидор — это корнеплод. ;0
43. Ридикюль — разновидность сумочки. ;1
44. Кипяток загасит огонь быстрее холодной воды. ;1
45. Пирсинг — это вид спорта. ;0
46. Полное имя Димы — Владимир. ;0
47. Вороны питаются только сыром. ;0
48. Про Каштанку написал Чехов. ;1
49. Уфа — это город в России. ;1
50. Слова «день» и «ночь» женского рода. ;1
51. Берлин — столица Лондона. ;0
52. Красная Шапочка шла к дедушке. ;0
53. Курочку Рябу придумал Лев Толстой. ;0
54. Парфюмер занимается духами. ;1
55. Коровы относятся к травоядным. ;1
56. В прятки можно играть только вдвоем. ;0
57. У сына Никиты отчество Николаевич. ;0
58. Отец жены — тесть. ;1
59. Пончики делают из теста. ;1
60. Пекин — столица Китая. ;1
61. Три сантиметра — это больше, чем четыре миллиметра. ;1
62. В 2013 году было 11 месяцев. ;0
63. Лицо рыцаря закрывается забралом. ;1
64. В слове «тень» все согласные мягкие. ;1
65. Трижды пять — пятнадцать. ;1
66. После мая наступает апрель. ;0
67. Леонардо — главный из черепашек-ниндзя. ;1
68. Древней Русью правили фараоны. ;0
69. Милан находится в России. ;0
70. «Добро» и «зло» — антонимы. ;1
71. Пингвины живут в Антарктиде. ;1
72. Криштиану Роналду — футболист. ;1
73. Архитектор — тот, кто проектирует здания. ;1
74. В борщ добавляют свёклу. ;1
75. Кузен — это старший брат. ;0
76. Пиала — это чашка без ручек. ;1
77. Цыплёнок — детёныш курицы. ;1
78. Художественная борьба — олимпийский вид спорта. ;0
79. В английском алфавите нет буквы А. ;0
80. Рапира — это разновидность шпаги. ;1
81. Река Амазонка протекает в Южной Америке. ;1
82. Ж — звонкий согласный. ;1
83. Актиния — это морской обитатель. ;1
84. Синхронная ходьба — командный вид спорта. ;0
85. Пирамиды построили древние греки. ;0
86. При близорукости плохо видно то, что близко. ;0
87. Китай — единственная страна, где растут голубые розы. ;0
88. Семерых козлят съела лиса. ;0
89. Мать мужа — тёща. ;0
90. Дуремар занимался продажей лягушек. ;1
91. Тонометром измеряют давление. ;1
92. В слове «ненастье» пять гласных. ;0
93. Один из Смешариков был бараном. ;1
94. Мыши не охотятся на кошек. ;1
95. Сервал относится к копытным. ;0
96. 13 — простое число.  ;1
97. Греция была столицей Рима. ;0
98. Волга — это река в Африке. ;0
99. Кондитер делает сладости.  ;1
100. Тетерев — то же, что глухарь. ;0
